disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3215,,,,,45093695.3,44833582.58,,2021-02-12T00:00:00.000Z,,,86f119835e6a90b47690e5e12b554b5e,2021-02-12T03:43:15.940Z,5aa2d587cb4f0f7020b18696
3260,,,,,,,,,,,6ae6d908de2060c71071f5154c19997d,2020-06-01T12:49:27.300Z,5aa2d587cb4f0f7020b1869f
3240,,,,,277442.24,256981.41,,2021-02-12T00:00:00.000Z,,,2700fb0a57f0f6418509f6153649b1ea,2021-02-12T03:43:15.955Z,5aa2d587cb4f0f7020b1869b
3285,,,,,8596849.56,8462882.85,,2021-02-12T00:00:00.000Z,,,c5ade96cfc45d43b81a91125e3b0a26b,2021-02-12T03:43:15.985Z,5aa2d587cb4f0f7020b186a4
3265,,,,,566376.69,566376.69,,2021-02-12T00:00:00.000Z,,,6a749cb55a12e5aa2a31838f5307aaee,2021-02-12T03:43:15.974Z,5aa2d587cb4f0f7020b186a0
3310,,,,,,,,,,,1ac6a87e9b7ced9e3a52b5854f2af808,2020-06-01T12:49:27.385Z,5aa2d587cb4f0f7020b186a9
3290,,,,,27385680.76,27155369.85,,2021-02-12T00:00:00.000Z,,,2e66ad5e050ad73de8563b5eb766f61c,2021-02-12T03:43:15.988Z,5aa2d587cb4f0f7020b186a5
3292,,,,,611711.02,589645.02,,2021-02-12T00:00:00.000Z,,,86eaf1e312f2e8f1bb2931ecb28d4bd6,2021-02-12T03:43:15.989Z,5aa2d587cb4f0f7020b186ae
3315,,,,,741694.21,740080.16,,2021-02-12T00:00:00.000Z,,,512b108babb8946fbadaec4d7f15c05b,2021-02-12T03:43:16.003Z,5aa2d587cb4f0f7020b186aa
3209,,,,,3261706.85,3261706.85,,2021-02-12T00:00:00.000Z,,,d732cdf813c3b708353db94e7fbbb60f,2021-02-12T03:43:15.936Z,5aa2d587cb4f0f7020b1867a
3234,,,,,219505.79,219505.79,,2021-02-12T00:00:00.000Z,,,58e9a0a9ec66e3b284fcb5fbfa4f0ebb,2021-02-12T03:43:15.951Z,5aa2d587cb4f0f7020b1867f
3259,,,,,7402953.83,7566282.12,,2021-02-12T00:00:00.000Z,,,8565b254577c9a44f637205923d2f923,2021-02-12T03:43:15.970Z,5aa2d587cb4f0f7020b18684
3284,,,,,,,,,,,a35d86e3d8603afc2d5448b53520c831,2020-06-01T12:49:27.351Z,5aa2d587cb4f0f7020b18689
3309,,,,,4872449.38,4542934.42,,2021-02-12T00:00:00.000Z,,,d151a88ad592e2972d643ae713e2a183,2021-02-12T03:43:15.999Z,5aa2d587cb4f0f7020b1868e
3335,,,,,5191261.4,5183599.95,,2021-02-12T00:00:00.000Z,,,6dae54ea0be1122fd8be213d326653b5,2021-02-12T03:43:16.011Z,5aa2d587cb4f0f7020b18693
3225,,,,,2078364.65,2014986.05,,2021-02-12T00:00:00.000Z,,,97d598f8e1e01d91a96ed049ee363791,2021-02-12T03:43:15.945Z,5aa2d587cb4f0f7020b18698
3250,,,,,2541599.6,2564351.44,,2021-02-12T00:00:00.000Z,,,18725c658e18ece337a4f977da4daf5a,2021-02-12T03:43:15.963Z,5aa2d587cb4f0f7020b1869d
3275,,,,,2865308.55,2802803.93,,2021-02-12T00:00:00.000Z,,,f8ad3d1d06828765b05458547cd0242b,2021-02-12T03:43:15.980Z,5aa2d587cb4f0f7020b186a2
3300,,,,,9540583.88,9531434.79,,2021-02-12T00:00:00.000Z,,,e108d20c52928f768a34d8536b9949ff,2021-02-12T03:43:15.995Z,5aa2d587cb4f0f7020b186a7
3282,,,,,,,,,,,f65654d5efecad023885d3ce65bf7c76,2020-06-01T12:49:27.348Z,5aa2d587cb4f0f7020b186ac
3297,,,,,,,,,,,149167e88d08436fb85a2ff0c3e6a1e3,2020-06-01T12:49:27.367Z,5aa2d587cb4f0f7020b186af
3321,,,,,,,,,,,6a891daf0798fbd908c5a3f48d7e4e53,2020-06-01T12:49:27.394Z,5aa2d587cb4f0f7020b186b1
3326,,,,,781030.88,777654.44,0,2021-02-12T00:00:00.000Z,,,6912a3b04db607c8dab8272e5f2f9937,2021-02-12T03:43:16.008Z,5aa2d587cb4f0f7020b186b2
3347,,,,,,,,,,,551a54617cc082c766019b8f3f6d475e,2020-06-01T12:49:27.448Z,5aa2d587cb4f0f7020b186b6
3352,,,,,,,,,,,20bca4ed1c25d85df29abfceda1cddef,2020-06-01T12:49:27.453Z,5aa2d587cb4f0f7020b186b7
3372,,,,,,,,,,,a273488151ac5ca55eafb5517fb65ec2,2020-06-01T12:49:27.472Z,5aa2d587cb4f0f7020b186bb
3377,,,,,,,,,,,ad2d8f0b2a351f4140a90507330f4052,2020-06-01T12:49:27.472Z,5aa2d587cb4f0f7020b186bc
3397,,,,,,,,,,,88d87d69ca0e0e18b791a6ba6c086010,2020-06-01T12:49:27.525Z,5aa2d587cb4f0f7020b186c0
4004,,,,,7419309.84,626468.18,6549981.48,2021-02-12T00:00:00.000Z,,1105267,1b8e199417d12bb130359486d0e8cc8a,2021-02-12T03:43:16.111Z,5aa2d587cb4f0f7020b186c1
4024,,,,,57728528.7,45043849.12,10040936.43,2021-02-12T00:00:00.000Z,,6378770.07,263aa5e6ccfcd657be6295c3ee819911,2021-02-12T03:43:16.120Z,5aa2d587cb4f0f7020b186c5
3340,,,,,495306.49,495306.49,0,2021-02-12T00:00:00.000Z,,,ab4602a99b7b88d90f495d3f810b2be9,2021-02-12T03:43:16.013Z,5aa2d587cb4f0f7020b186c6
3360,,,,,644300.52,643660.59,,2021-02-12T00:00:00.000Z,,,0ea2b31d0a666ef1c1c3475b6c7a319d,2021-02-12T03:43:16.026Z,5aa2d587cb4f0f7020b186ca
3365,,,,,,,,,,,a8442284cd611be0ca4d7a93f526baa2,2020-06-01T12:49:27.468Z,5aa2d587cb4f0f7020b186cb
3385,,,,,,,,,,,631c568b8f234d461bf11ca7656da970,2020-06-01T12:49:27.478Z,5aa2d587cb4f0f7020b186cf
3390,,,,,,,,,,,4189c13fc6baef044fb6a626ae0d8b5b,2020-06-01T12:49:27.498Z,5aa2d587cb4f0f7020b186d0
